grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
A-151,1,3,210.3,0,0,1,3565,0
B-151,1,1,268.66,44.78,1,0,3764,1
K-151,1,2,162.55,0,1,0,3104,2
N-151,2,2,474.18,30,1,1,11842,3
AE-151,1,1,204.12,40.82,1,0,3282,6
AL-151,1,1,0,0,0,1,4913,7
AP-151,2,2,420.13,39.95,1,1,8296,9
AR-151,1,1,132.3,0,0,1,2930,10
AY-151,2,2,326.56,47.71,2,0,7490,11
AZ-151,1,6,19.24,4.44,1,0,1200,12
BB-151,3,4,432.45,42,2,1,6925,13
BD-151,1,1,180.46,30.08,1,0,4709,14
BE-151,1,1,10.8,0,0,1,741,15
BG-151,1,6,12.36,2.06,1,0,611,16
CE-151,1,1,9.36,1.56,1,0,369,21
O-150,1,1,80.3,0,1,0,3341,23
S-150,1,2,180.3,0,0,1,976,24
U-150,1,2,121.3,10,1,0,2795,25
AE-150,1,1,120.3,0,0,1,96,27
AF-150,10,13,1551.27,95.57,5,4,18655,28
AN-150,1,1,0.31,0,0,1,111,29
AZ-150,2,2,199.92,4.77,1,1,3507,30
BF-150,1,1,216.84,0,0,1,4937,32
BH-150,2,2,184.93,36.33,1,0,3791,33
BI-150,1,1,323.09,0,0,1,4789,34
K-149,1,1,243.66,40.61,1,0,2684,38
R-149,1,1,84.05,0,1,0,4929,39
AF-149,26,27,587.38,34.71,14,12,26792,41
AG-149,108,185,1617.31,160.33,74,34,85103,42
AJ-149,1,2,10.8,0,0,1,3928,44
AK-149,1,1,23.3,0,0,0,86,45
AM-149,1,4,12.25,2.45,1,0,624,46
AS-149,1,1,190.55,7,1,0,2821,48
AU-149,1,1,218.49,28.24,1,0,3736,49
CE-149,1,1,56.21,9.37,1,0,1588,53
A-148,6,6,442.66,39.61,1,0,4182,54
B-148,2,2,448.76,10,1,1,8909,55
J-148,3,5,439.41,28,1,2,9860,56
K-148,1,1,3.3,0,0,1,4,57
M-148,1,1,150.3,0,1,0,2921,58
N-148,3,4,522.88,119.19,2,1,11786,59
O-148,1,1,170.3,0,1,0,3544,60
AF-148,15,15,165.34,13.34,9,6,10362,61
AG-148,10,14,1318.07,55,5,3,32238,62
AH-148,1,1,223.38,0,1,0,4015,63
CG-148,1,1,12.96,2.16,1,0,665,68
C-147,1,0,0.31,0,0,1,3321,69
D-147,4,5,543.49,22.5,1,2,20721,70
K-147,1,1,489.22,97.84,1,0,3223,71
L-147,1,1,225.06,37.51,1,0,2538,72
M-147,1,3,71.76,11.96,1,0,3330,73
N-147,4,6,669.36,17,3,1,18984,74
O-147,12,18,1508,141.4,7,5,43022,75
AD-147,1,3,200.3,0,1,0,3287,76
AE-147,1,1,129.95,21.65,1,0,2117,77
AF-147,5,6,316.76,0,1,3,13898,78
AG-147,1,4,239.3,0,0,1,7300,79
AI-147,6,8,916.99,59.36,5,0,17028,80
AJ-147,1,1,271.94,54.39,1,0,4813,81
AO-147,1,1,239.46,39.91,1,0,3874,82
E-146,1,1,291.63,20,1,0,4416,86
F-146,1,1,240.25,48.05,1,0,4509,87
K-146,1,1,311.76,51.96,1,0,4700,88
L-146,1,1,84.35,14.05,1,0,26,89
M-146,1,1,173.55,0,1,0,2710,90
N-146,4,6,784.56,33,3,1,18044,91
V-146,1,1,215.3,15,1,0,3735,92
AA-146,4,7,753.19,10,2,2,15117,94
AC-146,2,4,282.14,0,0,2,11101,95
AE-146,1,1,176.3,0,0,1,4095,96
AF-146,2,3,217.15,0,0,2,7862,97
AG-146,1,1,80.3,0,0,1,2670,98
AH-146,3,3,628.45,10,3,0,7702,99
AL-146,1,1,236.63,25,1,0,3531,100
CB-146,1,1,21.3,0,0,1,1221,101
CD-146,2,3,10.6,0,0,2,390,103
M-145,14,26,2211.48,67.7,10,4,46530,104
O-145,1,2,187.8,0,0,1,4622,105
Y-145,3,4,359.18,147.2,1,2,3328,106
Z-145,2,2,315.23,26.05,1,1,7155,107
AC-145,2,2,354.7,10,1,1,4786,109
AD-145,1,1,229.56,38.26,1,0,3040,110
AG-145,7,7,1380.05,192.95,7,0,17820,111
AH-145,1,1,145.8,0,0,0,1838,112
CA-145,1,2,7.3,0,0,1,324,113
CB-145,1,1,8.16,1.36,1,0,204,114
CD-145,1,1,5.3,0,0,1,145,116
B-144,1,1,160.3,160,1,0,2772,117
H-144,1,1,203.8,20,1,0,2005,118
K-144,1,2,122.05,10,1,0,2393,119
N-144,2,2,241.94,0,1,1,4469,120
O-144,3,9,608.86,74.8,3,0,8192,121
AA-144,1,5,163.3,0,0,1,6711,122
AC-144,1,2,252.88,0,0,1,3100,123
AD-144,1,1,300.3,0,1,0,436,124
AE-144,1,1,179.63,0,1,0,4168,125
AH-144,2,6,180.76,4.66,2,0,4125,127
B-143,2,3,402.18,0,1,1,7006,131
C-143,5,5,819.34,53.34,5,0,15779,132
I-143,1,1,153.88,0,0,1,3790,133
K-143,1,1,123.3,0,0,1,3586,134
L-143,2,2,430.6,15,1,1,8058,135
M-143,110,153,22577.03,1543.04,89,15,396753,136
AE-143,3,3,507.48,0,1,1,9191,137
AH-143,2,2,224.6,0,0,1,3995,138
AI-143,1,1,165.55,0,1,0,2585,139
AJ-143,6,6,918.75,88,5,0,14213,140
CC-143,1,1,14.3,0,0,1,1087,141
A-142,1,2,146.38,0,0,1,5361,142
B-142,2,3,382.85,20,1,1,15473,143
H-142,3,4,663.09,0,0,3,7474,144
I-142,6,8,1402.38,200.92,4,2,21358,145
K-142,6,10,895.22,0,2,3,19897,146
L-142,4,4,1301.01,322.56,3,1,16098,147
M-142,5,6,853.28,80,3,2,14300,148
AE-142,2,2,52.85,0,0,2,7312,149
AI-142,7,7,1100.23,147.88,5,2,20604,151
C-141,1,1,8.3,0,0,0,284,153
F-141,1,1,265.56,44.26,1,0,4878,154
G-141,5,5,1000.82,119.95,5,0,17233,155
H-141,12,19,2204.16,88.2,8,4,34078,156
I-141,3,4,460.02,10,2,1,10501,157
J-141,2,2,316.26,92.41,2,0,5704,158
Q-141,1,6,12.96,2.16,1,0,717,159
S-141,1,1,206.34,0,1,0,5107,160
T-141,1,1,118.3,0,1,0,2694,161
AE-141,2,3,348.85,15,2,0,5430,162
AF-141,2,2,409.43,15,1,1,9576,163
AH-141,1,2,143.05,0,0,1,2333,164
D-140,1,1,307.63,25,1,0,7127,166
F-140,13,19,2116.84,214.33,9,4,128241,167
G-140,113,153,19040.83,1693.67,77,26,310486,168
H-140,59,76,14274.63,1434.01,51,7,246238,169
J-140,2,2,353.6,10,1,1,6523,170
L-140,6,7,1039.79,115.12,5,1,19163,171
O-140,1,1,260.3,10,1,0,7355,173
P-140,2,2,321.06,41.63,2,0,7873,174
Q-140,1,1,159.96,26.66,1,0,3161,175
R-140,1,1,186.3,10,1,0,3604,176
T-140,1,1,197.3,27,1,0,4041,177
U-140,1,5,24.3,0,0,1,2330,178
AE-140,1,1,174.3,0,0,1,1910,179
AF-140,1,1,91.55,0,0,1,2283,180
AP-140,1,1,115.38,0,0,1,3921,181
D-139,3,3,233.9,34.8,1,1,6964,182
E-139,2,3,269.65,36.05,1,1,8499,183
F-139,7,12,1197.41,146.4,5,2,26369,184
G-139,7,7,1263.4,115.71,7,0,16694,185
H-139,2,4,578.55,96.43,2,0,8455,186
J-139,5,8,697.64,47.56,3,1,22444,187
K-139,2,5,259.26,16.16,2,0,6748,188
L-139,1,1,223.13,0,1,0,5810,189
M-139,1,1,233.63,0,0,1,4423,190
N-139,1,2,201.13,0,0,1,3977,191
O-139,1,1,0.3,0,0,1,6718,192
P-139,1,2,164.55,0,0,1,3714,193
R-139,2,3,346.13,0,1,1,7482,194
S-139,3,11,367.89,11,2,0,11068,195
V-139,3,3,589.44,71,2,1,13622,196
W-139,7,15,1409.48,283.47,7,0,26107,197
X-139,1,1,147.55,13,1,0,2526,198
AF-139,1,1,103.3,0,0,1,2011,199
AN-139,8,11,918.03,95.91,5,3,31634,201
AO-139,5,9,502.58,47.76,5,0,16447,202
AP-139,26,55,2995.63,282,15,11,98451,203
AQ-139,8,18,906.84,71.04,6,2,21879,204
AT-139,1,1,19.56,3.26,1,0,1553,205
A-138,1,1,220.4,0.1,1,0,7020,206
B-138,1,1,261.88,20,1,0,4502,207
C-138,4,5,565.45,0,0,3,19232,208
D-138,1,1,116.3,0,1,0,2521,209
H-138,3,6,670.81,41.21,2,1,13237,210
I-138,3,3,668.6,89.33,3,0,10496,211
J-138,1,1,134.8,0,1,0,3710,212
K-138,2,4,431.18,0,0,2,6435,213
M-138,1,1,224.63,0,0,1,3837,214
N-138,1,1,290.88,44,1,0,6152,215
O-138,1,2,247.25,49.45,1,0,1986,216
P-138,3,5,614.06,42.08,2,1,14295,217
Q-138,1,1,150.05,0,1,0,3183,218
W-138,6,13,1060.21,81.31,4,1,15382,221
X-138,1,1,202.55,40.5,1,0,2492,222
Z-138,1,1,221.13,20,1,0,4643,223
AL-138,2,3,444.92,42.75,2,0,12037,224
AM-138,7,14,798.08,22.88,1,5,23943,225
AN-138,23,42,2582.54,254.09,16,7,84705,226
AO-138,25,43,2665.26,287.75,17,8,78332,227
AP-138,21,45,2513.73,298.33,14,7,78664,228
AQ-138,51,95,5885.46,568.37,37,13,175441,229
AR-138,5,7,531.44,0,2,2,18986,230
A-137,1,1,73.3,0,0,1,273,231
I-137,2,3,418.65,38.05,2,0,3552,232
K-137,1,1,154.13,0,0,1,4236,233
L-137,1,2,200.3,0,0,1,4861,234
M-137,1,1,169,0,1,0,3262,235
O-137,1,1,182.05,10,1,0,5209,237
P-137,1,6,17.84,0,0,1,743,238
Q-137,1,1,286.61,47.77,1,0,8455,239
R-137,2,2,434.01,0,0,2,7729,240
U-137,5,6,752.12,0,2,3,13536,241
W-137,1,2,216.09,5,1,0,3389,242
Y-137,2,2,185.6,0,1,1,113,243
AA-137,2,2,351.35,15,2,0,7977,244
AB-137,1,1,132.55,0,1,0,4197,245
AF-137,2,2,206.35,0,0,2,9122,246
AI-137,1,1,35.8,0,1,0,1769,247
AJ-137,2,4,251.93,0,0,2,3149,248
AK-137,4,5,408.86,0,1,2,11350,249
AL-137,10,13,953.39,125.8,5,4,12021,250
AM-137,1,1,118.05,0,0,1,3493,251
AN-137,22,34,2354.52,279.46,12,8,67976,252
AO-137,26,47,2869.08,329.84,16,9,83340,253
AP-137,88,145,10526.99,1639.14,81,7,315372,254
AQ-137,10,16,1159.58,190.2,9,1,37745,255
AS-137,1,1,96.88,0,0,1,3337,256
AV-137,25,47,2768.59,329.83,16,9,91519,257
C-136,1,1,310.79,62.16,1,0,6359,258
D-136,2,2,302.85,10,2,0,5319,259
G-136,1,1,235.05,35,1,0,3818,260
L-136,4,5,754.76,114.16,3,1,11942,261
M-136,3,3,323.4,170.48,2,1,7942,262
N-136,1,1,160.3,0,0,1,4917,263
Q-136,1,3,255.88,0,0,1,4970,264
S-136,3,5,160.3,0,0,2,6397,266
T-136,1,2,271.88,24,1,0,2818,267
V-136,1,1,154.75,30.95,1,0,4500,268
X-136,4,6,675.8,61.6,3,1,15636,269
Y-136,2,2,482.94,62.68,2,0,5655,270
AF-136,20,31,407.83,21.63,9,8,114197,271
AJ-136,1,3,125.3,0,0,1,3932,272
AL-136,8,11,1395.32,186.69,7,1,31239,273
AO-136,9,12,1179.89,108.09,5,3,30438,274
AP-136,18,26,2347.24,256.22,14,4,51977,275
AQ-136,26,41,2870.47,202.73,21,5,89291,276
AR-136,2,2,231.3,20,1,0,6684,277
