grid_id,total_trips,sum_of_passengers,sum_of_costs,sum_of_tips,count_of_payment_by_card,count_of_payment_by_cash,sum_of_duration_in_seconds,grid_index
AM-151,1,1,23.3,0,0,0,86,8
BB-151,1,1,204.85,10,1,0,35,13
BN-151,1,5,16.8,3,1,0,759,17
BO-151,6,6,98.78,9.98,3,3,7062,18
BP-151,13,20,183.51,18.11,7,6,94293,19
BQ-151,6,6,77.56,2.26,3,3,5045,20
AB-150,1,1,100.8,0,1,0,3798,26
AF-150,3,5,558.6,28,2,0,74,28
AN-150,1,1,0.31,0,0,1,111,29
AZ-150,1,1,171.3,0,0,1,76,30
BE-150,1,1,10.8,0,0,1,741,31
BH-150,1,1,3.3,0,0,0,3,33
AF-149,25,25,401.71,34.71,14,11,16777,41
AG-149,109,185,1395.04,160.33,74,35,81952,42
AO-149,1,1,70.01,11.67,1,0,2142,47
AZ-149,1,2,11.76,1.96,1,0,551,50
BE-149,1,6,12.36,2.06,1,0,611,51
CD-149,1,1,13.8,0,0,1,940,52
CE-149,1,1,15.3,0,0,1,854,53
A-148,6,6,237.3,3,1,0,2695,54
J-148,1,2,220.3,0,0,1,107,56
AF-148,15,15,165.34,13.34,9,6,10362,61
AG-148,2,2,8.6,0,0,0,74,62
AY-148,1,1,7.8,0,0,1,546,65
CD-148,1,1,28.84,0,0,1,1138,66
D-147,1,1,10.3,0,0,0,428,70
K-147,1,1,3.3,0,0,1,4,71
N-147,1,1,0.31,0,0,1,706,74
O-147,3,6,192.42,2.02,2,1,1324,75
AF-147,1,2,0.3,0,0,1,226,78
AI-147,1,1,200.3,0,1,0,24,80
CD-147,2,2,26.52,4.42,2,0,979,84
L-146,1,1,84.35,14.05,1,0,26,89
AA-146,1,1,62.8,0,0,1,2080,94
AH-146,1,1,200.3,0,1,0,31,99
CB-146,1,1,8.16,1.36,1,0,204,101
CC-146,1,1,14.3,0,0,1,1087,102
CD-146,2,2,11.6,0,0,2,452,103
M-145,2,5,300.6,20,2,0,74,104
Y-145,2,2,220.8,147.2,1,1,53,106
AG-145,1,1,187.8,0,1,0,1801,111
CB-145,1,2,6.3,0,0,1,321,114
CC-145,3,4,25.56,2.16,1,2,1134,115
O-144,1,4,226.8,15,1,0,40,121
AD-144,1,1,300.3,0,1,0,436,124
AH-144,1,5,27.96,4.66,1,0,1545,127
CE-144,1,1,17.3,0,0,1,1248,130
C-143,1,1,208.8,15,1,0,4,132
M-143,8,8,1158.38,97.06,7,0,590,136
AE-143,1,1,52.8,0,0,1,25,137
AH-143,1,1,212.3,0,0,1,387,138
AJ-143,1,1,189.3,35,1,0,40,140
H-142,1,1,170.3,0,0,1,71,144
K-142,1,1,90.3,10,1,0,69,146
M-142,1,2,246.3,60,1,0,31,148
AE-142,1,1,100.3,0,0,1,936,149
H-141,2,3,272.64,25,1,0,153,156
A-140,1,1,73.3,0,0,1,273,165
F-140,2,2,348.6,0,1,1,578,167
G-140,30,38,3535.58,254.25,17,11,2374,168
